"","X","Year","Cause","Age","Female","Male","Age2"
"1",2310,1990,1,"Total",182696,239040,96
"2",2310,1991,1,"Total",176802,233623,96
"3",2310,1992,1,"Total",175428,233999,96
"4",2310,1993,1,"Total",180068,235961,96
"5",2310,1994,1,"Total",181136,237772,96
"6",2310,1995,1,"Total",187693,242408,96
"7",2310,1996,1,"Total",191168,245017,96
"8",2310,1997,1,"Total",192941,247318,96
"9",2310,1998,1,"Total",195460,249030,96
"10",2310,1999,1,"Total",195979,247833,96
"11",2310,2000,1,"Total",193253,244302,96
"12",2310,2001,1,"Total",196058,244606,96
"13",2310,2002,1,"Total",203252,254112,96
"14",2310,2003,1,"Total",209673,260657,96
"15",2310,2004,1,"Total",210737,260738,96
"16",2310,2005,1,"Total",221575,272236,96
"17",2310,2006,1,"Total",219880,273276,96
"18",2310,2007,1,"Total",224372,277547,96
"19",2310,2008,1,"Total",237299,298871,96
"20",2310,2009,1,"Total",243044,307712,96
"21",2310,2010,1,"Total",254376,323901,96
"22",2310,2011,1,"Total",251917,324239,96
"23",2310,2012,1,"Total",257872,329481,96
"24",2310,2013,1,"Total",263053,332706,96
"25",2310,2014,1,"Total",275070,342763,96
